aesthetic_1,aesthetic_2,score,shared_total,era_gap_years,year_1,year_2,dimensions_hit,shared_detail
Ancient Egypt,Chinoiserie,35.59,5,1233,3150,1917,colours,"colours:black, blue, gold"
Ancient Egypt,Cyber Stylin',35.24,5,1150,3150,2000,"artworks, colours","artworks:games | colours:black, blue, brown"
Ancient Egypt,Flamenco,28.45,4,1225,3150,1925,colours,"colours:black, gold, red"
Ancient Egypt,Cholo,28.43,4,1220,3150,1930,colours,"colours:black, blue, brown"
Ancient Egypt,B-Boy,28.3,4,1180,3150,1970,colours,"colours:black, blue, red"
Ancient Egypt,Wa Lolita,28.2,4,1153,3150,1997,colours,"colours:black, gold, red"
Ancient Egypt,Cholombiano,28.2,4,1153,3150,1997,colours,"colours:black, blue, red"
Ancient Egypt,Avantropop,28.19,4,1150,3150,2000,colours,"colours:black, blue, red"
Ancient Egypt,DORFic,28.19,4,1150,3150,2000,colours,"colours:black, blue, red"
Ancient Egypt,Dark Nautical,28.12,4,1130,3150,2020,"artworks, colours","artworks:games | colours:black, blue, white"
Ancient Egypt,Fallen Angel,28.12,4,1130,3150,2020,"artworks, colours","artworks:books | colours:black, gold, white"
Ancient Egypt,Cutecore,28.12,4,1130,3150,2020,"artworks, colours","artworks:games | colours:blue, red, white"
Cyber Stylin',Pink Parisian,25.58,6,70,2000,1930,"brands, colours, values","brands:Chanel, Louis Vuitton | colours:black, pink, white | values:self care"
Sharpies,Tomboy,24.24,4,427,1960,1533,"artworks, values","artworks:books, films, shows | values:Masculinity"
Magician,Spacecore,23.09,4,320,1700,2020,"artworks, values","artworks:films, shows, titles | values:Wonder"
Paty de SP,Pink Parisian,22.55,5,90,2020,1930,"colours, values","colours:black, pink, white | values:Beauty, Elegance"
Avantropop,Flamenco,21.65,5,75,2000,1925,colours,"colours:black, green, red"
Retrofuturism,Trinketcore,21.59,5,74,1926,2000,artworks,"artworks:books, films, games"
Flamenco,Wa Lolita,21.45,5,72,1925,1997,"colours, motifs","colours:black, gold, red | motifs:fans"
Ancient Egypt,Dadaism,21.37,3,1240,3150,1910,colours,"colours:black, red, white"
Ancient Egypt,Flapper,21.35,3,1230,3150,1920,colours,"colours:black, brown, white"
Ancient Egypt,Yakuza Aesthetic,21.35,3,1230,3150,1920,"artworks, colours","artworks:games | colours:black, white"
Ancient Egypt,Burlesque,21.35,3,1233,3150,1917,colours,"colours:black, red, white"
Ancient Egypt,Zenitism,21.34,3,1229,3150,1921,colours,"colours:black, red, white"
Ancient Egypt,Pink Parisian,21.32,3,1220,3150,1930,colours,"colours:black, gold, white"
Space Western,Trinketcore,21.31,5,70,1930,2000,"artworks, motifs, values","artworks:books, films, shows | motifs:space | values:exploration"
Ancient Egypt,Bills (Congolese subculture),21.26,3,1193,3150,1957,colours,"colours:blue, brown, red"
Ancient Egypt,Angura Kei,21.25,3,1190,3150,1960,colours,"colours:black, red, white"
Ancient Egypt,Signalism,21.23,3,1183,3150,1967,colours,"colours:black, red, white"
Ancient Egypt,Nazi Chic,21.22,3,1180,3150,1970,colours,"colours:black, red, white"
Ancient Egypt,Punk,21.22,3,1180,3150,1970,"artworks, colours","artworks:books | colours:black, red"
Ancient Egypt,Pixel UI,21.2,3,1170,3150,1980,"artworks, colours","artworks:games | colours:blue, white"
Ancient Egypt,Dark Cabaret,21.17,3,1160,3150,1990,colours,"colours:black, red, white"
Ancient Egypt,Oceanpunk,21.17,3,1160,3150,1990,"artworks, colours","artworks:games | colours:blue, brown"
Ancient Egypt,Goth Punk,21.15,3,1153,3150,1997,colours,"colours:black, red, white"
Ancient Egypt,Artcore,21.15,3,1150,3150,2000,"artworks, colours","artworks:games | colours:blue, white"
Ancient Egypt,Gyaruo,21.15,3,1153,3150,1997,colours,"colours:black, gold, white"
Ancient Egypt,Chromecore,21.15,3,1153,3150,1997,colours,"colours:black, blue, white"
Ancient Egypt,Chicago Drill,21.12,3,1140,3150,2010,colours,"colours:black, red, white"
Ancient Egypt,Baddie,21.12,3,1140,3150,2010,colours,"colours:black, red, white"
Ancient Egypt,Darksynth,21.12,3,1140,3150,2010,colours,"colours:black, blue, red"
Ancient Egypt,Arabfunny,21.1,3,1133,3150,2017,colours,"colours:black, red, white"
Ancient Egypt,Farmer's Daughter,21.1,3,1133,3150,2017,colours,"colours:blue, red, white"
Ancient Egypt,Sigilkore,21.1,3,1133,3150,2017,colours,"colours:black, red, white"
Analog Horror,Ancient Egypt,21.1,3,1133,2017,3150,colours,"colours:black, blue, red"
Ancient Egypt,Blueberry Girl,21.09,3,1130,3150,2020,colours,"colours:black, blue, white"
Ancient Egypt,Mochette,21.09,3,1130,3150,2020,"artworks, colours","artworks:books | colours:brown, white"
2020 Alt,Ancient Egypt,21.09,3,1130,2020,3150,"artworks, colours","artworks:games | colours:black, white"
Ancient Egypt,Paty de SP,21.09,3,1130,3150,2020,colours,"colours:black, blue, white"
Acubi,Ancient Egypt,21.09,3,1130,2020,3150,colours,"colours:black, brown, white"
Ancient Egypt,Fairy Grunge,21.09,3,1130,3150,2020,"artworks, colours","artworks:books | colours:black, brown"
Junkpunk,New England Gothic,20.68,4,175,2010,1835,artworks,"artworks:books, films, games"
Cryptidcore,New England Gothic,20.68,4,175,2010,1835,artworks,"artworks:books, films, games"
Avantropop,B-Boy,20.6,6,30,2000,1970,colours,"colours:black, blue, green"
Dau al Set,Modernisme,20.55,5,60,1948,1888,"locations, motifs, values","locations:Catalonia, Spain | motifs:symbolism | values:Catalan cultural revival, artistic freedom"
Poster Gal,Space Western,20.55,5,60,1990,1930,artworks,"artworks:anime, books, films"
Emo,New England Gothic,20.45,4,165,2000,1835,artworks,"artworks:books, films, games"
New England Gothic,Trinketcore,20.45,4,165,1835,2000,artworks,"artworks:books, films, games"
New England Gothic,Tweencore,20.38,4,162,1835,1997,artworks,"artworks:books, films, games"
Dark Academia,Venetian Carnival,20.23,3,848,2010,1162,"artworks, values","artworks:films, videoGames | values:mystery"
Nautical Fantasy,Trinketcore,20.13,3,820,1180,2000,"artworks, motifs","artworks:films, games | motifs:Magic"
Clowncore,Junkpunk,20.07,4,150,1860,2010,artworks,"artworks:anime, books, films"
Clowncore,Internet Awesomesauce,19.99,4,147,1860,2007,"artworks, motifs, values","artworks:films, shows | motifs:rainbows | values:Humor"
Clowncore,Mori Kei,19.8,4,140,1860,2000,artworks,"artworks:anime, books, films"
Clowncore,Tweencore,19.71,4,137,1860,1997,"artworks, values","artworks:books, films, shows | values:Humor"
Skater,Vectordelia,19.66,5,50,1950,2000,"artworks, values","artworks:anime, films, games | values:Creativity"
Clowncore,Poster Gal,19.5,4,130,1860,1990,artworks,"artworks:anime, books, films"
New England Gothic,Zombie Apocalypse,19.35,4,125,1835,1960,artworks,"artworks:books, films, games"
B-Boy,Flamenco,19.14,5,45,1970,1925,colours,"colours:black, green, red"
Fairy Grunge,Rockabilly,18.92,5,43,2020,1977,"artworks, values","artworks:films, shows, titles | values:Individualism, Rebellion"
Horror Punk,Trap Metal,18.57,5,40,1977,2017,"artworks, locations, motifs, values","artworks:titles | locations:United States | motifs:occult symbols | values:Rebellion, Shock value"
Arcadecore,Fairy Grunge,18.57,5,40,1980,2020,"artworks, colours, values","artworks:films, shows | colours:black, green | values:Escapism"
Fairycore,Tomboy,18.57,3,487,2020,1533,artworks,"artworks:books, films, shows"
Fairy Grunge,Tomboy,18.57,3,487,2020,1533,artworks,"artworks:books, films, shows"
2000s Preppy,Psychedelia,18.57,5,40,2000,1960,artworks,"artworks:films, shows, title"
Junkpunk,Tomboy,18.51,3,477,2010,1533,artworks,"artworks:books, films, shows"
After Hours,Tomboy,18.51,3,477,2010,1533,artworks,"artworks:books, films, shows"
Cryptidcore,Tomboy,18.51,3,477,2010,1533,artworks,"artworks:books, films, shows"
Chicago Drill,Dadaism,18.46,4,100,2010,1910,"colours, values","colours:black, red, white | values:' nihilism"
Arabfunny,Burlesque,18.46,4,100,2017,1917,"colours, values","colours:black, red, white | values:Satire"
Emo,Tomboy,18.45,3,467,2000,1533,artworks,"artworks:books, films, shows"
Tomboy,Trinketcore,18.45,3,467,1533,2000,artworks,"artworks:books, films, shows"
Mori Kei,Tomboy,18.45,3,467,2000,1533,artworks,"artworks:books, films, shows"
Mallgoth,Tomboy,18.43,3,464,1997,1533,artworks,"artworks:books, films, shows"
Tomboy,Tweencore,18.43,3,464,1533,1997,artworks,"artworks:books, films, shows"
Poster Gal,Tomboy,18.38,3,457,1990,1533,artworks,"artworks:books, films, shows"
Tomboy,Twee,18.36,3,454,1533,1987,artworks,"artworks:books, films, shows"
Rockabilly,Tomboy,18.29,3,444,1977,1533,"artworks, motifs","artworks:films, shows | motifs:Motorcycles"
Melodycore,Puppycore,18.27,6,20,2020,2000,"motifs, platforms, values","motifs:Bows, Hearts | platforms:Instagram | values:Comfort, Cuteness, Innocence"
Coconut Girl,Fanfare,18.22,4,94,2020,1926,"artworks, values","artworks:games, shows, titles | values:Fun"
Coconut Girl,Retrofuturism,18.22,4,94,2020,1926,artworks,"artworks:films, games, shows"
Jirai Kei,Retrofuturism,18.22,4,94,2020,1926,artworks,"artworks:books, games, shows"
Preacher's Daughter,Retrofuturism,18.22,4,94,2020,1926,artworks,"artworks:books, films, games"
Fanfare,Jirai Kei,18.22,4,94,1926,2020,artworks,"artworks:books, games, shows"
Fairy Grunge,Retrofuturism,18.22,4,94,2020,1926,artworks,"artworks:books, films, shows"
Tomboy,Zombie Apocalypse,18.18,3,427,1533,1960,artworks,"artworks:books, films, shows"
Mod,Tomboy,18.16,3,424,1957,1533,"artworks, values","artworks:films, shows | values:Androgyny"
Arabfunny,Flamenco,18.13,4,92,2017,1925,colours,"colours:black, green, red"
Greaser,Tomboy,18.11,3,417,1950,1533,"artworks, motifs","artworks:books, shows | motifs:Motorcycles"
New England Gothic,Retrofuturism,18.09,4,91,1835,1926,artworks,"artworks:books, films, games"
Retrofuturism,Soft Boy,18.09,4,91,1926,2017,artworks,"artworks:films, games, shows"
Barbiecore,Pink Parisian,18.04,4,90,2020,1930,"brands, values","brands:Chanel, Louis Vuitton | values:Beauty, self care"
Fairycore,Pink Princess,18.04,4,90,2020,1930,"artworks, values","artworks:books, films, shows | values:Kindness"
Acubi,Cholo,18.04,4,90,2020,1930,colours,"colours:black, brown, grey"
Heroic Realism,Junkpunk,18.04,4,90,1920,2010,artworks,"artworks:books, films, games"
Cryptidcore,Heroic Realism,18.04,4,90,2010,1920,artworks,"artworks:books, films, games"
Coconut Girl,Film Noir,18.04,4,90,2020,1930,artworks,"artworks:films, games, shows"
Space Western,Tomboy,17.96,3,397,1930,1533,artworks,"artworks:books, films, shows"
Pink Princess,Tomboy,17.96,3,397,1930,1533,artworks,"artworks:books, films, shows"
Retrofuturism,Tomboy,17.93,3,393,1926,1533,artworks,"artworks:books, films, shows"
Pink Parisian,Princesscore,17.91,4,87,1930,2017,"colours, values","colours:gold, pink, white | values:Elegance"
Film Noir,Soft Boy,17.91,4,87,1930,2017,artworks,"artworks:films, games, shows"
Heroic Realism,Tomboy,17.88,3,387,1920,1533,artworks,"artworks:books, films, shows"
Heroic Realism,New England Gothic,17.82,4,85,1920,1835,artworks,"artworks:books, films, games"
Preppy,Tomboy,17.8,3,377,1910,1533,artworks,"artworks:books, films, shows"
Cryptidcore,Fanfare,17.77,4,84,2010,1926,"artworks, values","artworks:books, games, shows | values:mystery"
Junkpunk,Retrofuturism,17.77,4,84,2010,1926,artworks,"artworks:books, films, games"
Cryptidcore,Retrofuturism,17.77,4,84,2010,1926,artworks,"artworks:books, films, games"
Avantropop,Burlesque,17.72,4,83,2000,1917,colours,"colours:black, red, white"
Avantropop,Chinoiserie,17.72,4,83,2000,1917,colours,"colours:black, blue, red"
Burlesque,DORFic,17.72,4,83,1917,2000,colours,"colours:black, red, white"
Chinoiserie,DORFic,17.72,4,83,1917,2000,colours,"colours:black, blue, red"
Colorido,Fanfare,17.63,4,81,2007,1926,"artworks, values","artworks:books, games, shows | values:Fun"
Fanfare,Internet Awesomesauce,17.63,4,81,1926,2007,"artworks, values","artworks:games, shows, titles | values:Humor"
Internet Awesomesauce,Retrofuturism,17.63,4,81,2007,1926,artworks,"artworks:films, games, shows"
Dollette,Pink Parisian,17.58,4,80,2010,1930,"colours, motifs, values","colours:pink, white | motifs:perfume | values:self care"
Burlesque,Cholombiano,17.58,4,80,1917,1997,colours,"colours:black, red, white"
Chinoiserie,Wa Lolita,17.58,4,80,1917,1997,colours,"colours:black, gold, red"
Chinoiserie,Cholombiano,17.58,4,80,1917,1997,colours,"colours:black, blue, red"
Preacher's Daughter,Raygun Gothic,17.58,4,80,2020,1940,"artworks, locations","artworks:films, games, titles | locations:United States"
Junkpunk,Space Western,17.58,4,80,2010,1930,artworks,"artworks:anime, books, films"
Emo,Heroic Realism,17.58,4,80,2000,1920,artworks,"artworks:books, films, games"
Heroic Realism,Trinketcore,17.58,4,80,1920,2000,artworks,"artworks:books, films, games"
Pin-up,Preacher's Daughter,17.53,4,79,1941,2020,"artworks, locations, values","artworks:books, films | locations:United States | values:Nostalgia"
Heroic Realism,Tweencore,17.43,4,77,1920,1997,artworks,"artworks:books, films, games"
Film Noir,Internet Awesomesauce,17.43,4,77,1930,2007,artworks,"artworks:films, games, shows"
Clowncore,Tomboy,17.38,3,327,1860,1533,artworks,"artworks:books, films, shows"
Pianocore,Princesscore,17.34,6,17,2000,2017,"colours, motifs, platforms, values","colours:cream, white | motifs:Lace | platforms:Pinterest, TikTok | values:Elegance"
DORFic,Flamenco,17.32,4,75,2000,1925,colours,"colours:black, red, white"
Coconut Girl,Magician,17.31,3,320,2020,1700,artworks,"artworks:films, shows, titles"
Magician,Mob Wife,17.31,3,320,1700,2020,artworks,"artworks:films, shows, titles"
Fairy Grunge,Magician,17.31,3,320,2020,1700,artworks,"artworks:films, shows, titles"
Magician,Soft Boy,17.29,3,317,1700,2017,artworks,"artworks:films, shows, titles"
Emo,Retrofuturism,17.27,4,74,2000,1926,artworks,"artworks:books, films, games"
Liminal Space,Retrofuturism,17.27,4,74,2000,1926,artworks,"artworks:books, films, games"
Retrofuturism,Vectordelia,17.27,4,74,1926,2000,artworks,"artworks:films, games, shows"
Fanfare,Trinketcore,17.27,4,74,1926,2000,artworks,"artworks:books, games, shows"
Magician,Vintage Americana,17.22,3,310,1700,2010,artworks,"artworks:films, shows, titles"
Magician,Trailer Park Princess,17.22,3,310,1700,2010,artworks,"artworks:films, shows, titles"
Internet Awesomesauce,Magician,17.19,3,307,2007,1700,artworks,"artworks:films, shows, titles"
B-Boy,DORFic,17.17,5,30,1970,2000,colours,"colours:black, blue, red"
Cholombiano,Flamenco,17.16,4,72,1997,1925,colours,"colours:black, red, white"
New England Gothic,Tomboy,17.14,3,302,1835,1533,artworks,"artworks:books, films, shows"
Cubism,Dutch Golden Age,17.12,3,300,1900,1600,colours,"colours:browns, grays, ochres"
Magician,Trinketcore,17.12,3,300,1700,2000,artworks,"artworks:films, shows, titles"
Magician,Shibuya Punk,17.12,3,300,1700,2000,artworks,"artworks:films, shows, titles"
Magician,Vectordelia,17.12,3,300,1700,2000,artworks,"artworks:films, shows, titles"
Gothic Lolita,Vampire,17.11,4,71,1990,1919,"motifs, values","motifs:Bats, Castles, coffins | values:Elegance"
Fanfare,Tweencore,17.11,4,71,1926,1997,"artworks, values","artworks:books, games, shows | values:Humor"
Retrofuturism,Tweencore,17.11,4,71,1926,1997,artworks,"artworks:books, films, games"
Greaser,Jirai Kei,17.05,4,70,1950,2020,"artworks, motifs","artworks:books, games, shows | motifs:cigarettes"
Coconut Girl,Skater,17.05,4,70,2020,1950,"artworks, values","artworks:films, games, shows | values:Freedom"
Cholo,Cyber Stylin',17.05,4,70,1930,2000,colours,"colours:black, blue, brown"
Cholo,DORFic,17.05,4,70,1930,2000,colours,"colours:black, blue, grey"
Hipness Purgatory,Space Western,17.05,4,70,2000,1930,artworks,"artworks:anime, books, shows"
Clowncore,Space Western,17.05,4,70,1860,1930,artworks,"artworks:anime, books, films"
Mori Kei,Space Western,17.05,4,70,2000,1930,artworks,"artworks:anime, books, films"
Film Noir,Trinketcore,17.05,4,70,1930,2000,artworks,"artworks:films, games, shows"
Film Noir,Vectordelia,17.05,4,70,1930,2000,artworks,"artworks:films, games, shows"
Magician,Y2K Futurism,17.02,3,290,1700,1990,artworks,"artworks:films, shows, titles"
Agejo,Jirai Kei,17.0,6,16,2004,2020,"brands, locations, motifs","brands:MA*RS | locations:Japan, Tokyo | motifs:Bows, Lace, Ribbons"
Magician,Whimsigothic,16.92,3,280,1700,1980,artworks,"artworks:films, shows, titles"
Mallgoth,Space Western,16.88,4,67,1997,1930,artworks,"artworks:books, films, shows"
Magician,Rockabilly,16.88,3,277,1700,1977,artworks,"artworks:films, shows, titles"
B-Boy,Cholombiano,16.66,5,27,1970,1997,colours,"colours:black, blue, red"
"Bon Chic, Bon Genre",Rococo,16.66,3,257,1977,1720,"colours, locations","colours:cream | locations:France, Paris"
Femme Fatale,Magician,16.45,3,240,1940,1700,artworks,"artworks:films, shows, titles"
Fairy Grunge,Sharpies,16.44,4,60,2020,1960,"artworks, values","artworks:books, films, shows | values:Rebellion"
Greaser,Wizardcore,16.44,4,60,1950,2010,"artworks, values","artworks:books, games, shows | values:Freedom"
Skater,Wizardcore,16.44,4,60,1950,2010,"artworks, values","artworks:games, shows | values:Creativity, Freedom"
Junkpunk,Skater,16.44,4,60,2010,1950,artworks,"artworks:anime, films, games"
Film Noir,Y2K Futurism,16.44,4,60,1930,1990,artworks,"artworks:films, games, shows"
Film Noir,Magician,16.33,3,230,1930,1700,artworks,"artworks:films, shows, titles"
Magician,Retrofuturism,16.27,3,226,1700,1926,artworks,"artworks:films, shows, titles"
Playboy,Power Dressing,16.24,4,57,1920,1977,"brands, motifs, tvshows","brands:Armani | motifs:Tailored suits | tvshows:Dynasty, Miami Vice"
Brazilian Carnival,Coconut Girl,16.19,3,220,1800,2020,"artworks, values","artworks:films, titles | values:Fun"
B-Boy,Burlesque,15.96,4,53,1970,1917,colours,"colours:black, red, white"
B-Boy,Chinoiserie,15.96,4,53,1970,1917,colours,"colours:black, blue, red"
Hime Gyaru,Jirai Kei,15.83,6,13,2007,2020,"brands, locations, motifs","brands:Liz Lisa | locations:Japan, Tokyo | motifs:Bows, Lace, Ribbons"
Jirai Kei,Takenokozoku,15.73,4,50,2020,1970,"locations, motifs","locations:Japan, Tokyo | motifs:Bows, Ribbons"
Raygun Gothic,Robotcore,15.73,4,50,1940,1990,"artworks, motifs, tvshows","artworks:films, games | motifs:Robots | tvshows:My Life as a Teenage Robot"
Space Age,Trinketcore,15.73,4,50,1950,2000,"artworks, motifs, values","artworks:films, shows | motifs:Stars | values:exploration"
Skater,Superflat Pop,15.73,4,50,1950,2000,"artworks, motifs","artworks:films, games, shows | motifs:Graffiti"
Angura Kei,Chicago Drill,15.73,4,50,1960,2010,"colours, values","colours:black, red, white | values:' nihilism"
Angura Kei,Dadaism,15.73,4,50,1960,1910,"colours, values","colours:black, red, white | values:' nihilism"
B-Boy,Brazilcore (fashion trend),15.73,4,50,1970,2020,colours,"colours:blue, green, white"
B-Boy,Cutecore,15.73,4,50,1970,2020,colours,"colours:blue, red, white"
Junkpunk,Zombie Apocalypse,15.73,4,50,2010,1960,artworks,"artworks:books, films, games"
Emo,Skater,15.73,4,50,2000,1950,"artworks, brands","artworks:films, games, shows | brands:VANS"
Cryptidcore,Zombie Apocalypse,15.73,4,50,2010,1960,artworks,"artworks:books, films, games"
Coconut Girl,New England Gothic,15.68,3,185,2020,1835,artworks,"artworks:films, games, shows"
Jirai Kei,New England Gothic,15.68,3,185,2020,1835,artworks,"artworks:books, games, shows"
Barbiecore,New England Gothic,15.68,3,185,2020,1835,artworks,"artworks:films, games, shows"
New England Gothic,Xpiritualism,15.68,3,185,1835,2020,artworks,"artworks:films, games, shows"
New England Gothic,Preacher's Daughter,15.68,3,185,1835,2020,artworks,"artworks:books, films, games"
