#,pair_id,category,aesthetic_a,aesthetic_b
1,1,related,Too Cool,Yabi
2,3,related,Britpop,Lad Culture
3,20,random,Pink Princess,Folk Horror
4,24,random,Indigenous Futurisms,Cottagegoth
5,17,random,Witchcore,Weirdcore
6,23,random,Grandmillennial,Palewave
7,14,bridge,Space Western,Trinketcore
8,19,random,Trailer Park Princess,Catholic Mexican Girl
9,16,bridge,Dark Academia,Venetian Carnival
10,12,bridge,Paty de SP,Pink Parisian
11,11,bridge,Magician,Spacecore
12,2,related,Princesscore,Royalcore
13,7,related,Coconut Girl,Curly Girly
14,9,bridge,Ancient Egypt,Cyber Stylin'
15,5,related,Neo-Chinese Style,Too Cool
16,21,random,Soft Apocalypse,Coastal Style
17,15,bridge,Dau al Set,Modernisme
18,8,related,Bloomcore,Cottagecore
19,18,random,Grandmacore,Herki
20,4,related,Movida Madrileña,Basque Radical Rock
21,6,related,Biker,Punk
22,10,bridge,Sharpies,Tomboy
23,13,bridge,Flamenco,Wa Lolita
24,22,random,TikTok 4chan Art Trend,Rebels
